"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.115 ms (0%)","0.0 ms (0%)","0.115 ms (0%)","0.0 ms (0%)","5,225"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.397 ms (0%)","0.0 ms (0%)","0.397 ms (0%)","0.0 ms (0%)","1,962"
"com.symatiq.Scout$RemoteKeyListener.keyPressed (java.awt.event.KeyEvent)","0.443 ms (0%)","0.0 ms (0%)","4.32 ms (0%)","0.0 ms (0%)","22"
"plugin.AppiumPlugin.performAction (com.symatiq.actions.Action)","0.012 ms (0%)","0.0 ms (0%)","144 ms (0%)","0.0 ms (0%)","14"
"plugin.AppiumPlugin.getCapture ()","0.062 ms (0%)","0.0 ms (0%)","54,434 ms (5.7%)","0.0 ms (0%)","49"
"plugin.AppiumPlugin.createWidgetFromElement (org.openqa.selenium.WebElement, String, String, String, String, String, String)","1.54 ms (0%)","0.0 ms (0%)","4,066 ms (0.4%)","30.5 ms (1.3%)","26"
"plugin.AppiumPlugin.lambda$createWidgets$1 (com.symatiq.widgets.Widget)","0.119 ms (0%)","0.0 ms (0%)","0.165 ms (0%)","0.0 ms (0%)","1,325"
"plugin.AppiumPlugin.lambda$createWidgets$0 (com.symatiq.widgets.Widget)","0.120 ms (0%)","0.0 ms (0%)","0.279 ms (0%)","0.0 ms (0%)","1,325"
"plugin.AppiumPlugin.lambda$createWidgets$2 (java.util.concurrent.ConcurrentLinkedQueue, java.util.Set, java.util.concurrent.ConcurrentLinkedQueue)","2.2 ms (0%)","0.0 ms (0%)","17,011 ms (1.8%)","28.1 ms (1.2%)","20"
"plugin.AppiumPlugin.performAppiumAction (com.symatiq.actions.Action)","1.83 ms (0%)","0.0 ms (0%)","144 ms (0%)","0.0 ms (0%)","14"
"plugin.AppiumPlugin.shutdownAndAwaitTermination (java.util.concurrent.ExecutorService)","38,438 ms (9.6%)","0.0 ms (0%)","38,438 ms (4%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.changeState ()","0.003 ms (0%)","0.0 ms (0%)","0.003 ms (0%)","0.0 ms (0%)","1"
"plugin.AppiumPlugin.updateCapture ()","0.153 ms (0%)","0.0 ms (0%)","54,434 ms (5.7%)","0.0 ms (0%)","49"
"plugin.AppiumPlugin.getScreenshot ()","0.151 ms (0%)","0.0 ms (0%)","11,047 ms (1.2%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.widgetClickHandle (com.symatiq.widgets.Widget)","0.016 ms (0%)","0.0 ms (0%)","0.917 ms (0%)","0.0 ms (0%)","1"
"plugin.AppiumPlugin.createWidgets ()","20.3 ms (0%)","0.0 ms (0%)","40,260 ms (4.2%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.hasSourceChanged ()","0.149 ms (0%)","0.0 ms (0%)","3,126 ms (0.3%)","0.0 ms (0%)","35"
"plugin.AppiumPlugin.updateLastWidgets (java.util.List)","0.069 ms (0%)","0.0 ms (0%)","0.994 ms (0%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.isCheckTag (String)","0.031 ms (0%)","0.0 ms (0%)","0.031 ms (0%)","0.0 ms (0%)","26"
"plugin.Autopilot.updateState ()","0.010 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","7"
"plugin.Autopilot.changeState ()","0.019 ms (0%)","0.0 ms (0%)","0.020 ms (0%)","0.0 ms (0%)","1"
"plugin.Autopilot.autoPerformAction ()","0.003 ms (0%)","0.0 ms (0%)","0.003 ms (0%)","0.0 ms (0%)","7"
"org.openqa.selenium.json.JsonOutput$JsonObject.name (String)","0.048 ms (0%)","0.0 ms (0%)","0.752 ms (0%)","0.0 ms (0%)","77"
"org.openqa.selenium.json.JsonOutput$JsonObject.write (String)","0.010 ms (0%)","0.0 ms (0%)","0.021 ms (0%)","0.0 ms (0%)","77"
"org.openqa.selenium.remote.Dialect$1.getEncodedElementKey ()","0.048 ms (0%)","0.0 ms (0%)","0.048 ms (0%)","0.0 ms (0%)","1,616"
"org.openqa.selenium.By.xpath (String)","0.205 ms (0%)","0.0 ms (0%)","0.232 ms (0%)","0.0 ms (0%)","30"
"plugin.MimicActions.updateSuggestions ()","0.028 ms (0%)","0.0 ms (0%)","0.062 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.295 ms (0%)","0.0 ms (0%)","29,669 ms (3.1%)","15.5 ms (0.7%)","316"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.lambda$new$0 (String, java.util.concurrent.atomic.AtomicInteger, Runnable)","0.548 ms (0%)","0.0 ms (0%)","0.548 ms (0%)","0.0 ms (0%)","4"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","29,641 ms (7.4%)","0.0 ms (0%)","29,662 ms (3.1%)","15.5 ms (0.7%)","316"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","795 ms (0.2%)","0.0 ms (0%)","4,375 ms (0.5%)","0.0 ms (0%)","4,979"
"com.symatiq.extension.PluginThreads$CallActionMethodThread.run ()","0.041 ms (0%)","0.0 ms (0%)","145 ms (0%)","0.0 ms (0%)","69"
"org.openqa.selenium.MutableCapabilities.getCapability (String)","0.268 ms (0%)","0.0 ms (0%)","0.268 ms (0%)","0.0 ms (0%)","4,848"
"org.openqa.selenium.remote.Command.getName ()","0.191 ms (0%)","0.0 ms (0%)","0.191 ms (0%)","0.0 ms (0%)","4,108"
"org.openqa.selenium.remote.Command.getParameters ()","0.125 ms (0%)","0.0 ms (0%)","0.125 ms (0%)","0.0 ms (0%)","316"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createRequest (org.openqa.selenium.remote.http.HttpRequest, org.openqa.selenium.remote.http.HttpMethod, java.net.URI)","5.39 ms (0%)","0.0 ms (0%)","10.8 ms (0%)","0.0 ms (0%)","316"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.getRawUri (org.openqa.selenium.remote.http.HttpRequest)","2.59 ms (0%)","0.0 ms (0%)","2.59 ms (0%)","0.0 ms (0%)","316"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.notChunkingBodyPublisher (org.openqa.selenium.remote.http.HttpRequest)","0.114 ms (0%)","0.0 ms (0%)","0.129 ms (0%)","0.0 ms (0%)","31"
