"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$MyMouseListener.mouseDragged (java.awt.event.MouseEvent)","6.11 ms (0%)","0.0 ms (0%)","84.2 ms (0%)","0.0 ms (0%)","453"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.182 ms (0%)","0.0 ms (0%)","2,288 ms (0.2%)","0.0 ms (0%)","453"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","5.70 ms (0%)","0.0 ms (0%)","2,288 ms (0.2%)","0.0 ms (0%)","453"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","0.481 ms (0%)","0.0 ms (0%)","6.20 ms (0%)","0.0 ms (0%)","7,462"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.131 ms (0%)","0.0 ms (0%)","0.131 ms (0%)","0.0 ms (0%)","5,368"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.367 ms (0%)","0.0 ms (0%)","0.367 ms (0%)","0.0 ms (0%)","2,094"
"com.symatiq.Scout$RemoteKeyListener.keyPressed (java.awt.event.KeyEvent)","0.444 ms (0%)","0.0 ms (0%)","4.29 ms (0%)","0.0 ms (0%)","22"
"plugin.AppiumPlugin.changeState ()","0.003 ms (0%)","0.0 ms (0%)","0.003 ms (0%)","0.0 ms (0%)","1"
"plugin.AppiumPlugin.widgetClickHandle (com.symatiq.widgets.Widget)","0.033 ms (0%)","0.0 ms (0%)","0.780 ms (0%)","0.0 ms (0%)","1"
"plugin.AppiumPlugin.getScreenshot ()","0.149 ms (0%)","0.0 ms (0%)","10,240 ms (0.8%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.createWidgets ()","20.3 ms (0%)","0.0 ms (0%)","38,877 ms (3%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.hasSourceChanged ()","0.106 ms (0%)","0.0 ms (0%)","2,095 ms (0.2%)","0.0 ms (0%)","30"
"plugin.AppiumPlugin.updateLastWidgets (java.util.List)","0.073 ms (0%)","0.0 ms (0%)","0.990 ms (0%)","0.0 ms (0%)","30"
