"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.281 ms (0%)","0.0 ms (0%)","0.281 ms (0%)","0.0 ms (0%)","9,307"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.667 ms (0%)","0.0 ms (0%)","0.667 ms (0%)","0.0 ms (0%)","3,917"
"plugin.AppiumPlugin.performAction (com.symatiq.actions.Action)","0.013 ms (0%)","0.0 ms (0%)","111 ms (0%)","0.0 ms (0%)","4"
"plugin.AppiumPlugin.getCapture ()","0.076 ms (0%)","0.0 ms (0%)","64,738 ms (3.6%)","0.0 ms (0%)","62"
"plugin.AppiumPlugin.changeState ()","0.004 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.performAppiumAction (com.symatiq.actions.Action)","2.4 ms (0%)","0.0 ms (0%)","111 ms (0%)","0.0 ms (0%)","4"
"plugin.AppiumPlugin.shutdownAndAwaitTermination (java.util.concurrent.ExecutorService)","50,904 ms (9.1%)","0.0 ms (0%)","50,904 ms (2.8%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.createWidgetFromElement (org.openqa.selenium.WebElement, String, String, String, String, String, String)","5.81 ms (0%)","0.0 ms (0%)","19,127 ms (1.1%)","14.7 ms (0.5%)","132"
"plugin.AppiumPlugin.lambda$createWidgets$2 (java.util.concurrent.ConcurrentLinkedQueue, java.util.Set, java.util.concurrent.ConcurrentLinkedQueue)","6.80 ms (0%)","0.0 ms (0%)","107,503 ms (6%)","37.1 ms (1.1%)","60"
"plugin.AppiumPlugin.lambda$createWidgets$0 (com.symatiq.widgets.Widget)","0.198 ms (0%)","0.0 ms (0%)","0.439 ms (0%)","0.0 ms (0%)","2,545"
"plugin.AppiumPlugin.lambda$createWidgets$1 (com.symatiq.widgets.Widget)","0.213 ms (0%)","0.0 ms (0%)","0.293 ms (0%)","0.0 ms (0%)","2,545"
"plugin.AppiumPlugin.updateCapture ()","0.172 ms (0%)","0.0 ms (0%)","64,738 ms (3.6%)","0.0 ms (0%)","62"
"plugin.AppiumPlugin.widgetClickHandle (com.symatiq.widgets.Widget)","0.020 ms (0%)","0.0 ms (0%)","1.10 ms (0%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.hasSourceChanged ()","0.259 ms (0%)","0.0 ms (0%)","4,708 ms (0.3%)","0.0 ms (0%)","47"
"plugin.AppiumPlugin.updateLastWidgets (java.util.List)","0.079 ms (0%)","0.0 ms (0%)","1.32 ms (0%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.getScreenshot ()","0.154 ms (0%)","0.0 ms (0%)","5,715 ms (0.3%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.createWidgets ()","24.0 ms (0%)","0.0 ms (0%)","54,314 ms (3%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.isCheckTag (String)","0.219 ms (0%)","0.0 ms (0%)","0.219 ms (0%)","0.0 ms (0%)","132"
"plugin.Autopilot.updateState ()","0.025 ms (0%)","0.0 ms (0%)","0.044 ms (0%)","0.0 ms (0%)","8"
"plugin.Autopilot.changeState ()","0.021 ms (0%)","0.0 ms (0%)","0.022 ms (0%)","0.0 ms (0%)","2"
"plugin.Autopilot.autoPerformAction ()","0.012 ms (0%)","0.0 ms (0%)","0.016 ms (0%)","0.0 ms (0%)","8"
"org.openqa.selenium.json.JsonOutput$JsonObject.name (String)","0.059 ms (0%)","0.0 ms (0%)","0.818 ms (0%)","0.0 ms (0%)","96"
"org.openqa.selenium.json.JsonOutput$JsonObject.write (String)","0.013 ms (0%)","0.0 ms (0%)","0.042 ms (0%)","0.0 ms (0%)","96"
